,title,artist,top genre,year,tempo,energy,dnce,dB,live,val,dur,acous,spch,Pop,,,
593,Girls Like You (feat. Cardi B),Maroon 5,Pop,2019,125,54,85,-7,13,45,236,57,5,81,,,
594,Call You Mine,The Chainsmokers,electroPop,2019,104,70,59,-6,34,52,218,20,3,81,,,
595,No Guidance (feat. Drake),Chris Brown,Pop,2019,93,45,70,-7,16,14,261,12,15,81,,,
596,Antisocial (with Travis Scott),Ed Sheeran,Pop,2019,152,82,72,-5,36,91,162,13,5,78,,,
597,"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",DJ Snake,electronic trap,2019,96,80,84,-4,6,62,213,16,23,77,,,
598,Con Calma - Remix,Daddy Yankee,latin,2019,94,87,74,-3,4,61,181,17,5,76,,,
599,Find U Again (feat. Camila Cabello),Mark Ronson,Pop,2019,104,66,61,-7,20,16,176,1,3,75,,,
600,Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,Pop,2019,95,79,75,-6,7,61,206,21,12,75,,,
601,"No Brainer (feat. Justin Bieber, Chance the Rapper & Quavo)",DJ Khaled,Pop,2019,136,76,53,-5,9,65,260,7,34,70,,,
602,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,Pop,2019,114,79,60,-6,42,24,217,1,7,69,,,
603,Kills You Slowly,The Chainsmokers,electroPop,2019,150,44,70,-9,13,23,213,6,6,67,,,
,Someone You Loved,Lewis Capaldi,Pop,2019,109.891,0.405,0.501,-5.679,0.105,0.446,182.161,0.751,0.0319,83,,,
,Circles,Post Malone,Trap,2019,120.042,0.762,0.695,-3.497,0.0863,0.553,215.28,0.192,0.0395,84,,,
,Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",Pop,2019,89.911,0.479,0.76,-5.574,0.0703,0.913,158.04,0.556,0.0466,83,,,
,Shape of You,Ed Sheeran,Pop,2019,95.977,0.652,0.825,-3.183,0.0931,0.931,233.713,0.581,0.0802,80,,,
,SeÃ±orita,"Shawn Mendes, Camila Cabello",Pop,2019,116.947,0.54,0.759,-6.039,0.0945,0.75,190.96,0.037,0.0287,83,,,
,Memories,Maroon 5,Pop,2019,91.05,0.327,0.775,-7.241,0.0821,0.595,189.486,0.841,0.0557,83,,,
,Bohemian Rhapsody - Remastered 2011,Queen,Trap,2019,143.883,0.402,0.392,-9.961,0.243,0.228,354.32,0.288,0.0536,81,,,
,Lucid Dreams,Juice WRLD,Hip-hop,2019,83.903,0.566,0.511,-7.23,0.34,0.218,239.836,0.349,0.2,83,,,
,Adore You,Harry Styles,Pop,2019,99.048,0.771,0.676,-3.675,0.102,0.569,207.133,0.0237,0.0483,83,,,
,7 rings,Ariana Grande,Pop,2019,140.048,0.317,0.778,-10.732,0.0881,0.327,178.627,0.592,0.334,81,,,
,Closer,"The Chainsmokers, Halsey",Pop,2019,95.01,0.524,0.748,-5.599,0.111,0.661,244.96,0.414,0.0338,32,,,
,Falling,Harry Styles,Pop,2019,110.011,0.267,0.567,-6.502,0.089,0.0592,240.133,0.839,0.0299,142,,,
,everything i wanted,Billie Eilish,Pop,2019,120.006,0.225,0.704,-14.454,0.106,0.243,245.426,0.901,0.0994,69,,,
,LA CANCIÃ“N,"J Balvin, Bad Bunny",Pop,2019,176.089,0.646,0.754,-5.795,0.108,0.429,242.573,0.152,0.317,29,,,
,ROXANNE,Arizona Zervas,Pop,2019,116.735,0.601,0.621,-5.616,0.46,0.457,163.636,0.0522,0.148,61,,,
,rockstar (feat. 21 Savage),Post Malone,Trap,2019,159.801,0.52,0.585,-6.136,0.131,0.129,218.147,0.124,0.0712,53,,,
,I Don't Care (with Justin Bieber),Ed Sheeran,Pop,2019,101.956,0.675,0.798,-5.041,0.0894,0.842,219.947,0.0912,0.0442,57,,,
,Happier,"Marshmello, Bastille",Pop,2019,100.015,0.792,0.687,-2.749,0.167,0.671,214.29,0.191,0.0452,46,,,
,Don't Stop Me Now - Remastered 2011,Queen,Trap,2019,156.271,0.865,0.563,-5.277,0.77,0.601,209.413,0.0472,0.16,13,,,
,Beautiful People (feat. Khalid),Ed Sheeran,Pop,2019,92.977,0.648,0.64,-8.113,0.0802,0.548,197.867,0.124,0.187,45,,,
,"thank u, next",Ariana Grande,Pop,2019,106.966,0.653,0.717,-5.634,0.101,0.412,207.32,0.229,0.0658,27,,,
,Sweet but Psycho,Ava Max,Pop,2019,133.002,0.706,0.72,-4.719,0.166,0.62,187.436,0.0684,0.0473,33,,,
,RITMO (Bad Boys For Life),"Black Eyed Peas, J Balvin",Pop,2019,104.994,0.716,0.721,-7.037,0.237,0.667,221.714,0.0334,0.0657,37,,,
,OUT WEST (feat. Young Thug),"JACKBOYS, Travis Scott",Rap,2019,139.864,0.591,0.802,-4.895,0.196,0.309,157.712,0.0104,0.225,36,,,
,Higher Love,"Kygo, Whitney Houston",Pop,2019,103.952,0.678,0.693,-7.159,0.101,0.404,228.267,0.0151,0.0324,33,,,
,Wow.,Post Malone,Trap,2019,99.96,0.539,0.829,-7.359,0.103,0.388,149.547,0.136,0.208,31,,,
,Old Town Road - Remix,"Lil Nas X, Billy Ray Cyrus",Pop,2019,136.041,0.619,0.878,-5.56,0.113,0.639,157.067,0.0533,0.102,30,,,
,China,"Anuel AA, Daddy Yankee, KAROL G, Ozuna, J Balvin",Trap,2019,105.027,0.808,0.786,-3.702,0.0822,0.609,301.714,0.0846,0.0882,30,,,
,Lalala,"Y2K, bbno$",Pop,2019,129.972,0.39,0.843,-7.899,0.137,0.495,160.627,0.178,0.0846,29,,,
,No Me Conoce - Remix,"Jhay Cortez, J Balvin, Bad Bunny",Trap,2019,91.973,0.786,0.806,-3.831,0.0935,0.58,309.12,0.145,0.0741,28,,,
,Thunder,Imagine Dragons,Pop,2019,167.997,0.822,0.605,-4.833,0.147,0.288,187.147,0.00671,0.0438,8,,,
,Better Now,Post Malone,Trap,2019,145.038,0.578,0.68,-5.804,0.135,0.341,231.267,0.331,0.04,27,,,
,High Hopes,Panic! At The Disco,['modern rock'],2019,82.014,0.904,0.579,-2.729,0.064,0.681,190.947,0.193,0.0618,21,,,
,Lights Up,Harry Styles,Pop,2019,101.987,0.621,0.575,-8.165,0.141,0.27,172.213,0.0392,0.032,24,,,
,Girls Like You (feat. Cardi B),Maroon 5,Pop,2019,124.959,0.541,0.851,-6.825,0.13,0.448,235.545,0.568,0.0505,18,,,
,Piece Of Your Heart,"MEDUZA, Goodboys",Pop,2019,124.08,0.744,0.677,-6.806,0.074,0.631,152.913,0.0404,0.0295,25,,,
,Callaita,"Bad Bunny, Tainy",Trap,2019,176.169,0.624,0.61,-4.773,0.243,0.244,250.534,0.6,0.309,23,,,
,God's Plan,Drake,Rap,2019,77.169,0.449,0.754,-9.211,0.552,0.357,198.973,0.0332,0.109,11,,,
,Tutu,"Camilo, Pedro CapÃ³",Pop,2019,146.013,0.832,0.731,-2.592,0.0665,0.94,178.613,0.273,0.0503,11,,,
,Hate Me (with Juice WRLD),Ellie Goulding,"['Pop', 'edm', 'electroPop', 'indietronica', 'metroPopolis', 'Pop', 'post-teen Pop', 'uk Pop']",2019,75.025,0.768,0.657,-4.628,0.144,0.759,186.223,0.108,0.0507,17,,,
,Adicto (with Anuel AA & Ozuna),Tainy,"['latin', 'latin Hip-hop', 'latin Pop', 'Pop reggaeton', 'reggaeton', 'reggaeton flow', 'trap latino']",2019,80.002,0.836,0.734,-4.803,0.179,0.623,270.741,0.017,0.0735,12,,,
,Aventura,"Lunay, Ozuna, Anuel AA",Hip-hop,2019,92.025,0.726,0.729,-3.208,0.101,0.876,217.13,0.223,0.0422,11,,,
,Que Tire Pa Lante,Daddy Yankee,Trap,2019,93.979,0.901,0.658,-2.814,0.12,0.708,210.52,0.0478,0.0357,10,,,
,QUE PRETENDES,"J Balvin, Bad Bunny",Pop,2019,92.603,0.791,0.639,-4.443,0.362,0.939,222.347,0.0275,0.253,8,,,
,Quizas,"Rich Music LTD, Sech, Dalex, Justin Quiles, Lenny TavÃ¡rez, Feid, Wisin, Zion",Trap,2019,176.075,0.815,0.727,-2.454,0.231,0.677,216.067,0.0258,0.153,10,,,
,Soltera - Remix,"Lunay, Daddy Yankee, Bad Bunny",Hip-hop,2019,92.01,0.783,0.795,-4.271,0.437,0.799,266.087,0.361,0.0432,10,,,
,Truth Hurts,Lizzo,Pop,2019,158.087,0.624,0.715,-3.046,0.123,0.412,173.325,0.11,0.114,10,,,
,SENTADÃƒO,"PEDRO SAMPAIO, Felipe Original, JS o MÃ£o de Ouro",Pop,2019,173.997,0.869,0.68,-1.94,0.223,0.924,143.448,0.178,0.0589,4,,,
,Que Calor (with J Balvin & El Alfa),"Major Lazer, Diplo","['Pop', 'edm', 'electro house', 'moombahton', 'Pop', 'Pop dance', 'Pop rap']",2019,125.982,0.656,0.873,-6.043,0.0726,0.546,206.811,0.00477,0.068,8,,,
,Indeciso,"Reik, J Balvin, Lalo Ebratt",Pop,2019,94.949,0.748,0.738,-4.902,0.109,0.896,217.253,0.182,0.0453,9,,,
,HIGHEST IN THE ROOM (feat. ROSALÃA & Lil Baby) - REMIX,Travis Scott,Rap,2019,153.131,0.491,0.559,-6.406,0.0992,0.114,244.874,0.0567,0.0346,7,,,
,Good as Hell (feat. Ariana Grande) - Remix,Lizzo,Pop,2019,95.927,0.892,0.668,-3.001,0.735,0.478,159.011,0.298,0.0645,7,,,
,"Yo x Ti, Tu x Mi","ROSALÃA, Ozuna",Pop,2019,91.952,0.759,0.78,-3.292,0.143,0.579,201.04,0.462,0.225,7,,,
,Loco Contigo (feat. J. Balvin & Tyga),"DJ Snake, J Balvin",Pop,2019,192.091,0.758,0.694,-2.986,0.102,0.371,185.195,0.278,0.218,7,,,
,Psycho,Red Velvet,K-Pop,2019,139.987,0.666,0.664,-2.203,0.0854,0.405,210.56,0.193,0.0446,7,,,
,Con Altura,"ROSALÃA, J Balvin, El Guincho",Pop,2019,97.963,0.689,0.882,-4.027,0.0501,0.746,161.627,0.39,0.124,7,,,
,Talk (feat. Disclosure),Khalid,Pop,2019,135.984,0.4,0.9,-8.575,0.0599,0.346,197.573,0.0516,0.127,6,,,
,Con Calma,"Daddy Yankee, Snow",Pop,2019,93.989,0.86,0.737,-2.652,0.0574,0.656,193.227,0.11,0.0594,7,,,
,Otro Trago - Remix,"Sech, Ozuna, Anuel AA, Darell, Nicky Jam",Trap,2019,175.988,0.79,0.725,-2.331,0.0602,0.763,287.773,0.0711,0.197,7,,,
,Turn Me On (feat. Vula),"Riton, Oliver Heldens",Pop,2019,124.051,0.828,0.737,-4.711,0.0862,0.517,208.474,0.0149,0.0396,6,,,
,Panini,Lil Nas X,Pop,2019,153.848,0.594,0.703,-6.146,0.123,0.475,114.893,0.342,0.0752,5,,,
,223's (feat. 9lokknine),YNW Melly,Trap,2019,94.998,0.547,0.932,-7.787,0.0924,0.695,176.64,0.0388,0.333,6,,,
,Liberdade ProvisÃ³ria,Henrique & Juliano,Pop,2019,108.138,0.684,0.668,-5.937,0.923,0.7,187.986,0.627,0.0527,5,,,
,Legends,Juice WRLD,Hip-hop,2019,142.049,0.798,0.594,-5.244,0.143,0.381,191.84,0.115,0.0844,4,,,
,11:00 PM,Maluma,Pop,2019,95.692,0.712,0.777,-4.84,0.091,0.68,175.733,0.217,0.277,4,,,
,Don't Call Me Up,Mabel,Pop,2019,98.994,0.881,0.674,-2.853,0.0793,0.234,178.48,0.296,0.147,3,,,
,Calma - Remix,"Pedro CapÃ³, Farruko",Pop,2019,126.899,0.773,0.826,-4.218,0.143,0.761,238.2,0.323,0.0524,3,,,
,"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",DJ Snake,Pop,2019,95.881,0.801,0.842,-4.167,0.0642,0.617,212.5,0.157,0.228,3,,,
,GANG GANG,"JACKBOYS, Sheck Wes",Rap,2019,123.017,0.6,0.859,-4.63,0.353,0.568,244.761,0.071,0.301,2,,,
,Had Enough (feat. Quavo & Offset),Don Toliver,Rap,2019,147.957,0.789,0.75,-4.578,0.129,0.673,157.133,0.253,0.108,2,,,
,WHAT TO DO? (feat. Don Toliver),"JACKBOYS, Travis Scott",Rap,2019,118.037,0.594,0.643,-5.191,0.115,0.195,250.142,0.0695,0.0312,2,,,
,"Writing on the Wall (feat. Post Malone, Cardi B & Rvssian)",French Montana,Rap,2019,112.01,0.836,0.773,-2.326,0.0828,0.497,201.271,0.283,0.153,2,,,
,Roller,Apache 207,Hip-hop,2019,128.017,0.758,0.941,-6.47,0.193,0.683,157.093,0.0256,0.17,2,,,
,One Kiss (with Dua Lipa),Calvin Harris,Pop,2019,123.994,0.862,0.791,-3.24,0.0814,0.592,214.847,0.037,0.11,2,,,
,FantasÃ­a,Ozuna,Trap,2019,180.074,0.719,0.695,-5.938,0.0884,0.781,175.187,0.227,0.0903,2,,,
,Trampoline,"SHAED, ZAYN",Pop,2019,126.803,0.459,0.619,-5.782,0.137,0.498,184.28,0.56,0.0334,1,,,
,GATTI,"JACKBOYS, Pop Smoke, Travis Scott",Rap,2019,143.477,0.676,0.594,-5.808,0.163,0.472,181.145,0.135,0.344,1,,,
,Candy,Doja Cat,Pop,2019,124.876,0.516,0.689,-5.857,0.163,0.209,190.92,0.513,0.0444,1,,,
,JACKBOYS,JACKBOYS,Rap,2019,123.342,0.13,0.413,-25.166,0.111,0.0676,46.837,0.9,0.0336,1,,,
,Combatchy (feat. MC Rebecca),"Anitta, Lexa, LuÃ­sa Sonza",Pop,2019,150.134,0.73,0.826,-3.032,0.0197,0.605,157.6,0.383,0.0809,1,,,
,Old Town Road,Lil Nas X,Pop,2019,136.041,0.619,0.878,-5.56,0.113,0.639,157.067,0.0533,0.102,1,,,
,Let Me Know (I Wonder Why Freestyle),Juice WRLD,Hip-hop,2019,125.028,0.537,0.635,-7.895,0.418,0.383,215.381,0.172,0.0832,1,,,
,Ne reviens pas,"Gradur, Heuss L'enfoirÃ©",Pop,2019,124.996,0.778,0.932,-3.384,0.168,0.933,188.613,0.212,0.0638,1,,,
,New Rules,Dua Lipa,Pop,2019,116.073,0.7,0.762,-6.021,0.153,0.608,209.32,0.00261,0.0694,1,,,
,Cheirosa - Ao Vivo,Jorge & Mateus,Pop,2019,152.37,0.87,0.528,-3.123,0.333,0.714,181.93,0.24,0.0851,1,,,
,Havana (feat. Young Thug),Camila Cabello,Pop,2019,104.988,0.523,0.765,-4.333,0.132,0.394,217.307,0.184,0.03,1,,,
,Surtada - Remix Brega Funk,"DadÃ¡ BoladÃ£o, Tati Zaqui, OIK",Pop,2019,154.064,0.55,0.832,-7.026,0.182,0.881,152.784,0.249,0.0587,1,,,
,Lover (Remix) [feat. Shawn Mendes],Taylor Swift,Pop,2019,205.272,0.603,0.448,-7.176,0.0862,0.422,221.307,0.433,0.064,1,,,
604,Blinding Lights,The Weeknd,R&B/Soul,2020,171.005,0.73,0.514,-5.934,0.0897,0.334,200.04,0.00146,0.0598,100,,,
605,Dance Monkey,Tones And I,Alternative/Indie,2020,98.078,0.593,0.825,-6.401,0.17,0.54,209.755,0.688,0.0988,80,,,
606,The Box,Roddy Ricch,Hip-hop,2020,116.971,0.586,0.896,-6.687,0.79,0.642,196.653,0.104,0.0559,76,,,
607,Roses - Imanbek Remix,SAINt JHN,Pop,2020,121.962,0.721,0.785,-5.457,0.285,0.894,176.219,0.0149,0.0506,1,,,
608,Don't Start Now,Dua Lipa,Nu-disco,2020,123.95,0.793,0.793,-4.521,0.0951,0.679,183.29,0.0123,0.083,50,,,
609,ROCKSTAR (feat. Roddy Ricch),DaBaby,Hip-hop,2020,89.977,0.69,0.746,-7.956,0.101,0.497,181.733,0.247,0.164,1,,,
610,Watermelon Sugar,Harry Styles,Pop,2020,95.39,0.816,0.548,-4.209,0.335,0.557,174,0.122,0.0465,90,,,
611,death bed (coffee for your head),Powfu,Hip-hop,2020,144.026,0.431,0.726,-8.765,0.696,0.348,173.333,0.731,0.135,70,,,
612,Falling,Trevor Daniel,Hip-hop,2020,127.087,0.43,0.784,-8.756,0.0887,0.236,159.382,0.123,0.0364,75,,,
613,Someone You Loved,Lewis Capaldi,Alternative/Indie,2020,109.891,0.405,0.501,-5.679,0.105,0.446,182.161,0.751,0.0319,3,,,
614,Tusa,KAROL G,Pop,2020,101.085,0.715,0.803,-3.28,0.0574,0.574,200.96,0.295,0.298,5,,,
615,ROXANNE,Arizona Zervas,Hip-hop,2020,116.735,0.601,0.621,-5.616,0.46,0.457,163.636,0.0522,0.148,65,,,
616,Circles,Post Malone,Pop/Soft Rock,2020,120.042,0.762,0.695,-3.497,0.0863,0.553,215.28,0.192,0.0395,75,,,
617,Blueberry Faygo,Lil Mosey,Hip-hop,2020,99.034,0.554,0.774,-7.909,0.132,0.349,162.547,0.207,0.0383,70,,,
618,Intentions (feat. Quavo),Justin Bieber,Pop,2020,147.986,0.546,0.806,-6.637,0.102,0.874,212.867,0.3,0.0575,80,,,
619,Toosie Slide,Drake,Hip-hop,2020,81.604,0.49,0.83,-8.82,0.113,0.845,247.059,0.289,0.209,75,,,
620,Before You Go,Lewis Capaldi,Alternative/Indie,2020,111.881,0.575,0.459,-4.858,0.0885,0.183,215.107,0.604,0.0573,4,,,
621,Say So,Doja Cat,R&B/Soul,2020,110.962,0.673,0.787,-4.577,0.0904,0.786,237.893,0.256,0.158,70,,,
622,Memories,Maroon 5,Pop,2020,91.019,0.32,0.764,-7.209,0.0822,0.575,189.486,0.837,0.0546,78,,,
623,Life Is Good (feat. Drake),Future,Hip-hop,2020,142.053,0.574,0.795,-6.903,0.15,0.537,237.918,0.067,0.487,45,,,
624,Savage Love (Laxed - Siren Beat),Jawsh 685,Hip-hop,2020,150.076,0.481,0.767,-8.52,0.269,0.761,171.375,0.234,0.0803,69,,,
625,Adore You,Harry Styles,Pop,2020,99.048,0.771,0.676,-3.675,0.102,0.569,207.133,0.0237,0.0483,72,,,
626,Breaking Me,Topic,Pop,2020,122.031,0.72,0.789,-5.652,0.129,0.664,166.794,0.223,0.218,2,,,
627,Mood (feat. iann dior),24kGoldn,Pop rap,2020,90.989,0.722,0.7,-3.558,0.272,0.756,140.526,0.221,0.0369,78,,,
628,everything i wanted,Billie Eilish,Pop,2020,120.006,0.225,0.704,-14.454,0.106,0.243,245.426,0.902,0.0994,2,,,
629,SeÃ±orita,Shawn Mendes,Pop,2020,116.967,0.548,0.759,-6.049,0.0828,0.749,190.8,0.0392,0.029,1,,,
630,bad guy,Billie Eilish, Electro-Pop,2020,135.128,0.425,0.701,-10.965,0.1,0.562,194.088,0.328,0.375,80,,,
631,WAP (feat. Megan Thee Stallion),Cardi B,Trap,2020,133.073,0.454,0.935,-7.509,0.0824,0.357,187.541,0.0194,0.375,10,,,
632,Sunday Best,Surfaces, Electro-Pop,2020,112.022,0.525,0.878,-6.832,0.0714,0.694,158.571,0.183,0.0578,50,,,
633,Godzilla (feat. Juice WRLD),Eminem,Hip-hop,2020,165.995,0.745,0.808,-5.26,0.292,0.829,210.8,0.145,0.342,90,,,
634,Yummy,Justin Bieber,Pop,2020,145.842,0.506,0.676,-6.652,0.118,0.497,208.52,0.345,0.0958,82,,,
635,Break My Heart,Dua Lipa,Pop,2020,113.013,0.729,0.73,-3.434,0.349,0.467,221.82,0.167,0.0883,43,,,
636,Dynamite,BTS,Disco-Pop,2020,114.044,0.765,0.746,-4.41,0.0936,0.737,199.054,0.0112,0.0993,77,,,
637,Supalonely (feat. Gus Dapperton),BENEE,Alternative/Indie,2020,128.978,0.631,0.862,-4.746,0.123,0.841,223.488,0.291,0.0515,81,,,
638,ily (i love you baby) (feat. Emilee),Surf Mesa,Pop,2020,112.05,0.774,0.674,-7.567,0.393,0.33,176.547,0.0686,0.0892,6,,,
639,Rain On Me (with Ariana Grande),Lady Gaga,Pop,2020,123.056,0.855,0.672,-3.764,0.323,0.646,182.2,0.021,0.0397,41,,,
640,HIGHEST IN THE ROOM,Travis Scott,Hip-hop,2020,76.469,0.427,0.598,-8.764,0.21,0.0605,175.721,0.0546,0.0317,52,,,
641,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,DreamPop/Hip-Hop/R&B,2020,89.96,0.522,0.755,-4.368,0.0685,0.925,157.56,0.533,0.0575,93,,,
642,HawÃ¡i,Maluma,Pop,2020,180.067,0.727,0.783,-3.454,0.0626,0.558,199.112,0.185,0.389,3,,,
643,Ride It,Regard,Pop,2020,117.948,0.751,0.88,-4.258,0.106,0.884,157.606,0.177,0.0874,12,,,
644,goosebumps,Travis Scott,Hip-hop,2020,130.049,0.728,0.841,-3.37,0.149,0.43,243.837,0.0847,0.0484,87,,,
645,RITMO (Bad Boys For Life),Black Eyed Peas,Pop,2020,105.095,0.704,0.723,-7.088,0.792,0.684,214.935,0.0259,0.0571,20,,,
646,THE SCOTTS,THE SCOTTS,Hip-hop,2020,129.979,0.537,0.716,-7.648,0.157,0.28,165.978,0.233,0.0514,10,,,
647,Safaera,Bad Bunny,Alternative/reggaeton/experimental,2020,96.172,0.829,0.607,-4.074,0.107,0.685,295.177,0.0103,0.379,12,,,
648,lovely (with Khalid),Billie Eilish,Chamber Pop,2020,115.284,0.296,0.351,-10.109,0.095,0.12,200.186,0.934,0.0333,56,,,
649,Lucid Dreams,Juice WRLD,Pop,2020,83.903,0.566,0.511,-7.23,0.34,0.218,239.836,0.349,0.2,72,,,
650,Stuck with U (with Justin Bieber),Ariana Grande,Pop,2020,178.765,0.45,0.597,-6.658,0.382,0.537,228.482,0.223,0.0418,65,,,
651,If the World Was Ending - feat. Julia Michaels,JP Saxe,Pop,2020,75.801,0.473,0.464,-10.086,0.109,0.604,208.687,0.866,0.129,20,,,
652,Physical,Dua Lipa,Pop,2020,146.967,0.844,0.647,-3.756,0.102,0.746,193.829,0.0137,0.0457,8,,,
653,SICKO MODE,Travis Scott,Hip-hop,2020,155.008,0.73,0.834,-3.714,0.124,0.446,312.82,0.00513,0.222,53,,,
,Blinding Lights,The Weeknd,Pop,2020,171.005,0.73,0.514,-5.934,0.0897,0.334,200.04,0.00146,0.0598,83,,,
,Watermelon Sugar,Harry Styles,Pop,2020,95.39,0.816,0.548,-4.209,0.335,0.557,174,0.122,0.0465,83,,,
,Dynamite,BTS,K-Pop,2020,114.044,0.765,0.746,-4.41,0.0936,0.737,199.054,0.0112,0.0993,49,,,
,Mood (feat. iann dior),24kGoldn,Trap,2020,91.007,0.716,0.701,-3.671,0.324,0.732,140.533,0.174,0.0361,51,,,
,Run,OneRepublic,Pop,2020,117.003,0.72,0.682,-8.173,0.148,0.673,169.011,0.326,0.0381,15,,,
,Don't Start Now,Dua Lipa,Pop,2020,123.95,0.793,0.793,-4.521,0.0951,0.679,183.29,0.0123,0.083,83,,,
,Dance Monkey,Tones And I,Pop,2020,98.027,0.588,0.824,-6.4,0.149,0.513,209.438,0.692,0.0924,83,,,
,Love Again,Dua Lipa,Pop,2020,115.982,0.667,0.659,-4.668,0.1,0.468,258.004,0.00173,0.0339,3,,,
,Head & Heart (feat. MNEK),Joel Corry,Pop,2020,122.953,0.874,0.734,-3.158,0.0489,0.905,166.028,0.168,0.0662,55,,,
,positions,Ariana Grande,Pop,2020,144.015,0.802,0.737,-4.771,0.0931,0.682,172.325,0.468,0.0878,40,,,
,Before You Go,Lewis Capaldi,Pop,2020,111.881,0.575,0.459,-4.858,0.0885,0.183,215.107,0.604,0.0573,83,,,
,Levitating,Dua Lipa,Pop,2020,102.977,0.825,0.702,-3.787,0.0674,0.915,203.064,0.00883,0.0601,19,,,
,Believer,Imagine Dragons,Pop,2020,124.949,0.78,0.776,-4.374,0.081,0.666,204.347,0.0622,0.128,83,,,
,"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money,Pop,2020,140.04,0.66,0.799,-6.153,0.111,0.471,195.429,0.256,0.079,48,,,
,Roses - Imanbek Remix,SAINt JHN,"['melodic rap', 'Pop rap', 'rap', 'slap house', 'trap']",2020,121.955,0.719,0.769,-5.472,0.359,0.863,176.867,0.0143,0.0474,83,,,
,lovely (with Khalid),Billie Eilish,Pop,2020,115.284,0.296,0.351,-10.109,0.095,0.12,200.186,0.934,0.0333,83,,,
,Perfect,Ed Sheeran,Pop,2020,95.05,0.448,0.599,-6.312,0.106,0.168,263.4,0.163,0.0232,83,,,
,LA NOCHE DE ANOCHE,"Bad Bunny, ROSALÃA",Trap,2020,81.993,0.618,0.856,-4.892,0.0866,0.391,203.201,0.0303,0.286,35,,,
,ROCKSTAR (feat. Roddy Ricch),DaBaby,Hip-hop,2020,89.977,0.69,0.746,-7.956,0.101,0.497,181.733,0.247,0.164,67,,,
,Heather,Conan Gray,Pop,2020,102.078,0.425,0.357,-7.301,0.322,0.27,198.04,0.584,0.0333,53,,,
,you broke me first,Tate McRae,Pop,2020,124.148,0.373,0.667,-9.389,0.0906,0.0823,169.266,0.785,0.05,55,,,
,HawÃ¡i,Maluma,Pop,2020,179.984,0.788,0.766,-3.128,0.142,0.609,200.482,0.105,0.312,52,,,
,goosebumps,Travis Scott,Rap,2020,124.917,0.593,0.841,-7.846,0.124,0.808,162.803,0.418,0.0379,83,,,
,Shallow,"Lady Gaga, Bradley Cooper",Pop,2020,95.799,0.385,0.572,-6.362,0.231,0.323,215.733,0.371,0.0308,83,,,
,What You Know Bout Love,Pop Smoke,Pop,2020,83.995,0.548,0.709,-8.493,0.133,0.543,160,0.65,0.353,47,,,
,34+35,Ariana Grande,Pop,2020,129.25,0.287,0.857,-6.25,0.457,0.254,195.36,0.684,0.0568,39,,,
,bad guy,Billie Eilish,Pop,2020,135.128,0.425,0.701,-10.965,0.1,0.562,194.088,0.328,0.375,83,,,
,For The Night (feat. Lil Baby & DaBaby),Pop Smoke,Pop,2020,125.971,0.586,0.823,-6.606,0.193,0.347,190.476,0.114,0.2,56,,,
,WAP (feat. Megan Thee Stallion),Cardi B,Pop,2020,133.073,0.454,0.935,-7.509,0.0824,0.357,187.541,0.0194,0.375,51,,,
,Dreams - 2004 Remaster,Fleetwood Mac,Pop,2020,120.151,0.492,0.828,-9.744,0.128,0.789,257.8,0.0644,0.0276,44,,,
,death bed (coffee for your head),"Powfu, beabadoobee",Rap,2020,144.026,0.431,0.726,-8.765,0.696,0.348,173.333,0.731,0.135,76,,,
,Dior,Pop Smoke,Pop,2020,142.094,0.805,0.548,-5.732,0.408,0.648,216.387,0.212,0.351,65,,,
,Breaking Me,"Topic, A7S",Pop,2020,122.031,0.72,0.789,-5.652,0.129,0.664,166.794,0.223,0.218,71,,,
,Ride It,Regard,Pop,2020,117.948,0.751,0.88,-4.258,0.106,0.884,157.606,0.177,0.0874,82,,,
,Life Goes On,BTS,K-Pop,2020,81.068,0.716,0.566,-5.733,0.37,0.45,207.481,0.00691,0.0424,29,,,
,Wonderwall - Remastered,Oasis,Pop,2020,174.323,0.893,0.375,-4.097,0.187,0.434,258.773,0.000509,0.0406,4,,,
,Prisoner (feat. Dua Lipa),Miley Cyrus,Pop,2020,127.99,0.67,0.781,-3.912,0.0761,0.595,169.333,0.0103,0.0452,33,,,
,UN DIA (ONE DAY) (Feat. Tainy),"J Balvin, Dua Lipa, Bad Bunny",Pop,2020,168.169,0.693,0.571,-8.234,0.173,0.393,232.253,0.00536,0.0545,49,,,
,Savage Love (Laxed - Siren Beat),"Jawsh 685, Jason Derulo",Pop,2020,150.076,0.481,0.767,-8.52,0.269,0.761,171.375,0.234,0.0803,55,,,
,The Box,Roddy Ricch,Rap,2020,116.971,0.586,0.896,-6.687,0.79,0.642,196.653,0.104,0.0559,78,,,
,my ex's best friend (with blackbear),Machine Gun Kelly,Rap,2020,124.939,0.675,0.731,-5.134,0.141,0.298,139.461,0.00473,0.0434,45,,,
